1 8.470388368211724E-80
2 3.2505398194456143E-77
3 1.1286991804266812E-74
4 3.5462674076218087E-72
5 1.0081735595163767E-69
6 2.5934010237882092E-67
7 6.036352657599897E-65
8 1.2713059585401202E-62
9 2.4226803258821243E-60
10 4.177463791531675E-58
11 6.5177819605745905E-56
12 9.201476331321729E-54
13 1.1754001737220385E-51
14 1.3585778811279391E-49
15 1.4208684810315267E-47
16 1.3446020625878101E-45
17 1.1513416551845013E-43
18 8.920418174552036E-42
19 6.2536959443185896E-40
20 3.966969503962804E-38
21 2.276939617042994E-36
22 1.182536942718888E-34
23 5.557103332286684E-33
24 2.3629404647498425E-31
25 9.091334527499547E-30
26 3.1649951529183913E-28
27 9.969858897221525E-27
28 2.8416823261344695E-25
29 7.328795312768783E-24
30 1.7102524071928355E-22
31 3.611256862735579E-21
32 6.899650652018517E-20
33 1.1927965524822569E-18
34 1.865847738320868E-17
35 2.6409280994580753E-16
36 3.382264025231052E-15
37 3.9194848220333527E-14
38 4.1098031386442226E-13
39 3.899272651889353E-12
40 3.347470356845838E-11
41 2.600281868827193E-10
42 1.8276568877457197E-9
43 1.1623567955302948E-8
44 6.68890152603208E-8
45 3.4828975312041495E-7
46 1.640956786728727E-6
47 6.9955866962680135E-6
48 2.698495472438837E-5
49 9.41867466796955E-5
50 2.9745991555056074E-4
51 8.50036660252034E-4
52 0.002197948003186267
53 0.005142422126351766
54 0.010886507726916073
55 0.020853550036283003
56 0.03614447853363625
57 0.05668582612248955
58 0.08044101631562488
59 0.10328830949345563
60 0.12000389484301358
61 0.12615662610100797
62 0.12000389484301358
63 0.10328830949345563
64 0.08044101631562488
65 0.05668582612248955
66 0.03614447853363625
67 0.020853550036283003
68 0.010886507726916073
69 0.005142422126351766
70 0.002197948003186267
71 8.50036660252034E-4
72 2.9745991555056074E-4
73 9.41867466796955E-5
74 2.698495472438837E-5
75 6.9955866962680135E-6
76 1.640956786728727E-6
77 3.4828975312041495E-7
78 6.68890152603208E-8
79 1.1623567955302948E-8
80 1.8276568877457197E-9
81 2.600281868827193E-10
82 3.347470356845838E-11
83 3.899272651889353E-12
84 4.1098031386442226E-13
85 3.9194848220333527E-14
86 3.382264025231052E-15
87 2.6409280994580753E-16
88 1.865847738320868E-17
89 1.1927965524822569E-18
90 6.899650652018517E-20
91 3.611256862735579E-21
92 1.7102524071928355E-22
93 7.328795312768783E-24
94 2.8416823261344695E-25
95 9.969858897221525E-27
96 3.1649951529183913E-28
97 9.091334527499547E-30
98 2.3629404647498425E-31
99 5.557103332286684E-33
100 1.182536942718888E-34
